error,query,timestamp,type,tweetDate,twitterId,handle,text,profileUser,name,tweetLink,isReply,replyTo,initialTweet,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.056Z,tweets-replies,Mon Apr 13 08:16:25 +0000 2020,338868528,startupestonia,"RT @garage48: 📯THE RESULTS ARE IN📯
Over 15k participants from 100+ countries worked on 500 life-changing projects. And before we head over…",https://twitter.com/startupestonia,Startup Estonia,https://twitter.com/startupestonia/status/1249612392939622406,,,,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.055Z,tweets-replies,Mon Apr 13 08:16:20 +0000 2020,338868528,startupestonia,"RT @e_Residents: 15k participants, 100+ countries, 500 life-changing projects🎉Thanks everyone, who is involved in The Global Hack🙌 Check ou…",https://twitter.com/startupestonia,Startup Estonia,https://twitter.com/startupestonia/status/1249612372475621378,,,,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.055Z,tweets-replies,Mon Apr 13 06:58:43 +0000 2020,3225031929,e_Residents,"15k participants, 100+ countries, 500 life-changing projects🎉Thanks everyone, who is involved in The Global Hack🙌 Check out the winners and get your daily dose of inspiration👉https://t.co/WRoicGz6FZ",https://twitter.com/e_Residents,e-Residency: Estonia,https://twitter.com/e_Residents/status/1249592839358615557,,,,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.055Z,tweets-replies,Sun Apr 12 14:34:33 +0000 2020,115080162,garage48,"📯THE RESULTS ARE IN📯
Over 15k participants from 100+ countries worked on 500 life-changing projects. And before we head over to see the results, let’s give a MASSIVE clap 👏 to everyone involved!

Check out the results here: https://t.co/ORxaQvdXbx

#TheGlobalHack https://t.co/leSk3i9Vvh",https://twitter.com/garage48,Garage48 Foundation,https://twitter.com/garage48/status/1249345163266330624,,,,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.055Z,tweets-replies,Tue Apr 07 14:17:29 +0000 2020,338868528,startupestonia,"We are proud of Maarika Truu, Head of @startupestonia  for being one of Europe’s most #influential women in the #startup and #venture capital space. 🦄Congratz also to @KaidiRuu of @funderbeam Funderbeam and @karolihindriks Karoli Hindriks of @Jobbatical. https://t.co/TgOsk69wGf https://t.co/vehyRzJuA6",https://twitter.com/startupestonia,Startup Estonia,https://twitter.com/startupestonia/status/1247528928337510403,,,,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.055Z,tweets-replies,Fri Apr 03 13:05:15 +0000 2020,338868528,startupestonia,For the second year our friends @StartupWiseGuys have partnered up with @EITDigital to support teams in pre-acceleration phase! The EIT Digital Venture Program supports teams from 20 countries with deep tech business ideas to finalize their MVP and start their venture. ⬇️⬇️⬇️,https://twitter.com/startupestonia,Startup Estonia,https://twitter.com/startupestonia/status/1246061199462141952,,,,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.055Z,tweets-replies,Thu Apr 02 20:29:14 +0000 2020,338868528,startupestonia,"RT @sikkut: #Government colleagues around the world - I know you have challenges with #covidresponse, in #health, #employment, #digitalgove…",https://twitter.com/startupestonia,Startup Estonia,https://twitter.com/startupestonia/status/1245810543400759307,,,,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.055Z,tweets-replies,Thu Apr 02 09:30:28 +0000 2020,338868528,startupestonia,"‼️Call-out to Estonian startups looking to raise €250K+‼️

Our close partners at @EstoniaInvest  are on a mission to support the vibrant Estonian startups in the time of the crisis. Fill in this short survey and let @EstoniaInvest support you ➡️➡️➡️ https://t.co/pKXdcRkISU https://t.co/3FucDVtHaC",https://twitter.com/startupestonia,Startup Estonia,https://twitter.com/startupestonia/status/1245644762255769600,,,,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.055Z,tweets-replies,Thu Apr 02 05:29:52 +0000 2020,152640690,sikkut,"#Government colleagues around the world - I know you have challenges with #covidresponse, in #health, #employment, #digitalgovernment, #education, #economy. Submit your challenge by 5 April &amp; have https://t.co/oijKGb1YfC take care of it next week! See the website for details. https://t.co/mSug4SV13e",https://twitter.com/sikkut,Siim Sikkut,https://twitter.com/sikkut/status/1245584211106357250,,,,
,https://twitter.com/startupestonia,2020-07-10T06:51:23.055Z,tweets-replies,Wed Apr 01 09:17:01 +0000 2020,338868528,startupestonia,"Fully-Verified, an #Estonian #security #startup offering video-based identity #verification services, has raised an undisclosed amount of funding, in a round led by Pomerangels, to expand into new and emerging markets.",https://twitter.com/startupestonia,Startup Estonia,https://twitter.com/startupestonia/status/1245278986151833600,,,,
