tweetDate,twitterId,handle,text,profileUser,name,tweetLink,timestamp,query,type
Fri Jul 10 09:57:51 +0000 2020,17480896,postimees,Tartus avati Eesti esimene iseteeninduslik autodiagnostika terminal https://t.co/f1KD62a4nS,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281528051822661633,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Fri Jul 10 07:52:39 +0000 2020,17480896,postimees,"Terras, Mikser ja Ansip valiti tehisintellekti erikomisjoni https://t.co/vCbJfcp86R",https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281496544492093441,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Fri Jul 10 07:36:45 +0000 2020,17480896,postimees,Siseministeerium: me ei loo uut Kaitseliitu https://t.co/ynMK3hEqZA,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281492540064239616,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Fri Jul 10 07:32:29 +0000 2020,17480896,postimees,Sindis sõideti üle rekonstrueerimise all oleva silla https://t.co/cKdC6M9UBB,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281491468629270528,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Fri Jul 10 07:00:36 +0000 2020,17480896,postimees,Skeleton’s decade of patience paying off https://t.co/GE7cIKDKqA,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281483442765598725,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Fri Jul 10 04:50:08 +0000 2020,17480896,postimees,Kaitsepolitsei lammutab vana koolimaja  https://t.co/zYzNPvruLK,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281450610454343681,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Fri Jul 10 03:47:51 +0000 2020,17480896,postimees,Päevaga sai liikluses vigastada viis inimest https://t.co/KToxB7CKOD,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281434935895695360,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Fri Jul 10 03:35:04 +0000 2020,17480896,postimees,Politsei tabas kuus joobes sõidukijuhti https://t.co/muvGLZSbyF,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281431717841076226,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 18:07:29 +0000 2020,17480896,postimees,Teetööde tõttu on liiklus mitmel pool piiratud https://t.co/RpTcFVBM16,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281288884027097089,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 17:39:07 +0000 2020,17480896,postimees,Teadusnõukoda soovitas suurürituste osalejate arvu tõsta väiksemas mahus https://t.co/1Om0VeStp7,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281281744763846658,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 17:23:12 +0000 2020,17480896,postimees,"Usuühendused soovivd riigilt toetusteks pea 2,2 miljonit https://t.co/cJX9CU7993",https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281277738268098561,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 16:57:55 +0000 2020,17480896,postimees,Eestisse tuli tagasi mullu lahkunud kvoodipagulaste perekond https://t.co/RHktGiQnyQ,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281271377782345730,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 14:38:35 +0000 2020,17480896,postimees,USA saatkond plaanib kolida https://t.co/syHE492oH4,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281236310355849217,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 13:34:57 +0000 2020,17480896,postimees,Kakumäe randa ei tasu praegu suplema minna https://t.co/56GJrTKKQO,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281220295668445184,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 13:22:21 +0000 2020,17480896,postimees,Politsei saatis riigist välja kolm välismaalast https://t.co/xAkIAQSKtV,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281217126708150274,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 13:06:50 +0000 2020,17480896,postimees,Tartu Ülikooli osalusega konsortsium sai Euroopa Komisjoni rahastuse https://t.co/gzhlQTfWOh,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281213222457090051,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 12:17:22 +0000 2020,17480896,postimees,Kolm kuud Manila lennujaamas veetnud Jõhvi mees on lõpuks kodus https://t.co/MlGJbhmFsC,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281200773704175620,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 12:00:48 +0000 2020,17480896,postimees,Peterburi maanteel põrkasid kokku kaks veoautot https://t.co/hocPvpt6vn,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281196605794902018,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 11:45:27 +0000 2020,17480896,postimees,"Vormsi kandis kukkus merre purjelaeva kapten, otsingud jätkuvad https://t.co/4qYQGxuGDf",https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281192740366299137,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 10:54:37 +0000 2020,17480896,postimees,"VAATA VIDEOT! Hinnatud peakokk Herkki Ruubel õpetab, kuidas kerge vaevaga valmistada grillburgerit Liivimaa Liha... https://t.co/LRLV5O4s6s",https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281179946866683904,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 08:41:49 +0000 2020,17480896,postimees,PPA andis streikida ähvardanud Tiksi elukaaslasele loa Eestisse tulla https://t.co/7VyhiDEa5a,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281146527839334400,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 07:58:57 +0000 2020,17480896,postimees,"Valitsuse pressikonverentsil osalevad Ratas, Aller, Aeg ning Aas https://t.co/MJuCty8gec",https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281135739116359680,2020-07-12T05:30:39.469Z,https://twitter.com/postimees,tweets-replies
Thu Jul 09 07:11:39 +0000 2020,17480896,postimees,Kaja Kallas: Taxpayers forced to pay for government’s folly https://t.co/AvK6ghW5mG,https://twitter.com/postimees,Postimees,https://twitter.com/postimees/status/1281123835367116801,2020-07-12T05:30:39.470Z,https://twitter.com/postimees,tweets-replies
