likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount
1,https://twitter.com/postimees/status/1280170903805067264,liked,https://www.twitter.com/@VsCba,@VsCba,https://t.co/VDCHungubm | @1984Vivika | https://t.co/yQ2QcbFM0g,🏎🚒🚨☎️⚖️☎️📩📥📧,
1,https://twitter.com/postimees/status/1280126808684453889,liked,https://www.twitter.com/@jmlaurio,@jmlaurio,Currently writing two non-fiction books. Cybersec student and looking for a new #infosec job. #tietoturva #maanpuolustus #OSINT,Juha-Matti Laurio,
,https://twitter.com/postimees/status/1280126808684453889,RT,https://www.twitter.com/@LKarppi,@LKarppi,🎹🔡📊🎬🌲👽🏃‍♀️,LKarppi,1
1,https://twitter.com/postimees/status/1280122860061757440,liked,https://www.twitter.com/@ViirKaie,@ViirKaie,,Kaie Viir,
1,https://twitter.com/postimees/status/1280096956841410562,liked,https://www.twitter.com/@eetrsnt,@eetrsnt,"Musician from youth (violin+, vocals, composing, choir conducting) 
and entrepreneur (marketing, communications, management) from growth.",Triin,
3,https://twitter.com/postimees/status/1280028229219295232,liked,https://www.twitter.com/@ViirKaie,@ViirKaie,,Kaie Viir,
3,https://twitter.com/postimees/status/1280028229219295232,liked,https://www.twitter.com/@marie_vainumets,@marie_vainumets,HR at TransferWise. Language enthusiast 🇪🇪 🇬🇧 🇪🇸 🇮🇹 BA in Modern European Languages and Cultures.,Marie,
3,https://twitter.com/postimees/status/1280028229219295232,liked,https://www.twitter.com/@kristi_rebane,@kristi_rebane,,Kristi Rebane,
1,https://twitter.com/postimees/status/1279866418624897025,liked,https://www.twitter.com/@itsMeRommy,@itsMeRommy,insta: xorommy 🦄,ROMMY,
1,https://twitter.com/postimees/status/1279802279386845187,liked,https://www.twitter.com/@SiiM28441527,@SiiM28441527,Kuidas sa küll siia sattusid?,_SiiM_,
1,https://twitter.com/postimees/status/1279783924928065536,liked,https://www.twitter.com/@argohunt001,@argohunt001,,Argo Hunt,
,https://twitter.com/postimees/status/1279131672622108672,RT,https://www.twitter.com/@KarliKelk79,@KarliKelk79,"Filosofian maisteri, baltti ja @ChelseaFC'n fani. Tviitit suomeksi, in English ja eesti keeles. Ajattelen vapaasti, tabuja ei ole. 😎🇫🇮🇬🇧🇪🇪🇸🇪🇮🇹🇬🇪",Karli Kelk,1
1,https://twitter.com/postimees/status/1279070292556632064,liked,https://www.twitter.com/@FedynaViktor,@FedynaViktor,digitally growing dentist,Viktor Fedyna,
