likesCount,tweetUrl,action,profileUrl,handle,description,name,rtCount,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@evoecolab,@evoecolab,"Bio Prof @UTM @UofT, Director of @CUE_UofT, Canada Research Chair. EvoEco of plants and animals, urban evolution. Changing the world one experiment at a time",Marc Johnson,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@dr_tialynn,@dr_tialynn,Evolutionary ecologist she/her/hers,dr tia-lynn ashman,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@JTrunschke,@JTrunschke,"Evolutionary ecologist, loves flowers and their pollinators, good wines and food, passionate (ultra distance mountain) trail runner and certified outdoor leader",Judith Trunschke,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@Rajendr98470438,@Rajendr98470438,"Postdoc at Prof. Su lab, Fjirsm, CAS, China.  working area: Remote selective sp3 C-H  bond activation. CO2 METHANATION and  Pd/Norbornen catalysis.",Rajendran,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@MichaeliSimon,@MichaeliSimon,"Plant cell biologist @WeizmannScience. #Autophagy, #endomembranes, #viruses and #chloroplast.",Simon Michaeli,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@jakinmaies,@jakinmaies,"Especialista en Salud Publica Y Desastres ,Cadete Diplomatico# en el ministerio de relaciones exteriores de @Israel",Jakin Mandelblum,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@dror_barak,@dror_barak,"Microbiologist by training, bioinformatician by googling (and hard work). PhD/MBA student @ Cytryn lab, ARO. Exploring antimicrobials in soil microbiomes.",BarakDror,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@drklglenno,@drklglenno,"Evolutionary biologist who likes #polyploidy, #mountains, & #baobabs. tweets are my own (she/her)",drklglenno,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@AnatKoll,@AnatKoll,"Four years in Ethiopia (as a kid), six years in China (university instructor) dual-citizenship; Israel is my home!",iocean,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@FinnSylvana,@FinnSylvana,"Soon to be PhD student @Tufts. Bee population ecology and pollination biology 🐝🌸 Lead Field Technician - Gratton Lab, UW Madison.",Sylvie Finn,,,,,,,,
16,https://twitter.com/TelAvivUni/status/1245052545824948224,liked,https://www.twitter.com/@YehuMoran,@YehuMoran,"Evolutionary biologist @HebrewU
Opinions are my own.",Yehu Moran,,,,,,,,
,https://twitter.com/TelAvivUni/status/1245052545824948224,RT,https://www.twitter.com/@tschonberg,@tschonberg,Assistant Prof. in the Department of Neurobiology and Sagol School of Neuroscience @TelAvivUni views are my own #behaviorchange #openscience #brain,Tom Schonberg,3,,,,,,,
,https://twitter.com/TelAvivUni/status/1245052545824948224,RT,https://www.twitter.com/@TelAvivUni,@TelAvivUni,"Leading research university in #Israel and the world. World's 8ᵗʰ in graduate #Startups, top 100 #Innovation. Be Part of the Next Big Idea.",Tel Aviv University,3,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@tschonberg,@tschonberg,Assistant Prof. in the Department of Neurobiology and Sagol School of Neuroscience @TelAvivUni views are my own #behaviorchange #openscience #brain,Tom Schonberg,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@MilicaRat,@MilicaRat,жао ми је што нисам астронаут.,Privilegovana,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@shakedpa,@shakedpa,"Art, (neuro)science and other geeky stuff. Lives in an 80s RPG.",Shaked Palgi,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@fossilplants,@fossilplants,"Owns a #Botanicgarden, #Conservation #MRes @DICE_Kent, #FLS, @EinCaerDdol, @GondwanaPlants, #Palmoilfree, #SUP #Climb #Explore, no #PlantBlindness #iamabotanist",Robbie Blackhall-Miles,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@manhhungsg,@manhhungsg,"PhD student at the Stazione Zoológica Anton Dohrn, Napoli, Italy",manhhungsg,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@evoecolab,@evoecolab,"Bio Prof @UTM @UofT, Director of @CUE_UofT, Canada Research Chair. EvoEco of plants and animals, urban evolution. Changing the world one experiment at a time",Marc Johnson,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@dr_tialynn,@dr_tialynn,Evolutionary ecologist she/her/hers,dr tia-lynn ashman,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@JTrunschke,@JTrunschke,"Evolutionary ecologist, loves flowers and their pollinators, good wines and food, passionate (ultra distance mountain) trail runner and certified outdoor leader",Judith Trunschke,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@Rajendr98470438,@Rajendr98470438,"Postdoc at Prof. Su lab, Fjirsm, CAS, China.  working area: Remote selective sp3 C-H  bond activation. CO2 METHANATION and  Pd/Norbornen catalysis.",Rajendran,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@MichaeliSimon,@MichaeliSimon,"Plant cell biologist @WeizmannScience. #Autophagy, #endomembranes, #viruses and #chloroplast.",Simon Michaeli,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@jakinmaies,@jakinmaies,"Especialista en Salud Publica Y Desastres ,Cadete Diplomatico# en el ministerio de relaciones exteriores de @Israel",Jakin Mandelblum,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@dror_barak,@dror_barak,"Microbiologist by training, bioinformatician by googling (and hard work). PhD/MBA student @ Cytryn lab, ARO. Exploring antimicrobials in soil microbiomes.",BarakDror,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@drklglenno,@drklglenno,"Evolutionary biologist who likes #polyploidy, #mountains, & #baobabs. tweets are my own (she/her)",drklglenno,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@AnatKoll,@AnatKoll,"Four years in Ethiopia (as a kid), six years in China (university instructor) dual-citizenship; Israel is my home!",iocean,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@FinnSylvana,@FinnSylvana,"Soon to be PhD student @Tufts. Bee population ecology and pollination biology 🐝🌸 Lead Field Technician - Gratton Lab, UW Madison.",Sylvie Finn,,,,,,,,
16,https://twitter.com/yuval_sapir/status/1245050446861000708,liked,https://www.twitter.com/@YehuMoran,@YehuMoran,"Evolutionary biologist @HebrewU
Opinions are my own.",Yehu Moran,,,,,,,,
,https://twitter.com/yuval_sapir/status/1245050446861000708,RT,https://www.twitter.com/@tschonberg,@tschonberg,Assistant Prof. in the Department of Neurobiology and Sagol School of Neuroscience @TelAvivUni views are my own #behaviorchange #openscience #brain,Tom Schonberg,3,,,,,,,
,https://twitter.com/yuval_sapir/status/1245050446861000708,RT,https://www.twitter.com/@TelAvivUni,@TelAvivUni,"Leading research university in #Israel and the world. World's 8ᵗʰ in graduate #Startups, top 100 #Innovation. Be Part of the Next Big Idea.",Tel Aviv University,3,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@LovingWtr,@LovingWtr,,Joel Calvo,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@cybercosmix,@cybercosmix,└A Galaxy ~ Lakers ~ US Soccer ~ NBA #LAGalaxy #FirstToFive #RaceForSeis ✨ . 💛 💙 ⚽🌊└A🌴🏀 💜 💛 #LakeShow #LakerNation #LakerGang #ProudDeplorable #FreeThinker🇺🇸🇮🇱,『 ᑕƳᗷᗴᖇᑕᗝՏᗰᎥ᙭ 』,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@danielocarmon,@danielocarmon,"Personal Account of former Ambassador to India and SriLanka,now back in Israel",Daniel Carmon🇮🇱,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@Casperovsky,@Casperovsky,"MD PhD psychiatrist, neurologist and addictologist",Samir Kasper,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@gomberg1,@gomberg1,👑,GombergNation,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@AFTAU,@AFTAU,"Dynamic and daring, TAU represents Israel at its best. 
AMERICAN FRIENDS pursue the advancement of Tel Aviv University in the United States.",TelAvivUniversityUSA,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@jeanpauljh,@jeanpauljh,"Polyglot, voyageur #StayingAtHome, 写真家, army officer",jpjh,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@aleeroot,@aleeroot,,Alene,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@obiopiah,@obiopiah,"For God and Country🇺🇸. Economist, Engineer, Former US Army, @GeorgiaStateU Alum. News junkie and history buff. RT & Likes =\= Endorsement.",Obi_1_D_AllKnowing 🇺🇸,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@RobertFco,@RobertFco,"•Periodista• 
Tech, Sports & Art. 🤖",Roberto Fco. Ponce,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@SoundBwai,@SoundBwai,,Sound Bwai,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@RoxyVespa,@RoxyVespa,"Coffee, coffee, coffee. And a Vespa. 
Brewing up Specialty Coffee in Israel.
Opinions are my own. Proud Feminist + Jew.  #resist",RoxyVespa,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@emails227,@emails227,,erika,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@bcbrandy99,@bcbrandy99,I love Jesus & guns. I will love you if you’re not a dick. 6 special words are the way to my heart: Facts don’t care about your feelings @benshapiro,Brandy Paris🐻,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@lisagendell,@lisagendell,,Lisa Gendell,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@dogngarden,@dogngarden,,Cate Tingley,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@gangavarapudev,@gangavarapudev,,gangavarapudevaraju,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@AnnMarieAmerica,@AnnMarieAmerica,Resist the Left in the USA.  Stop the destruction of the country and the constitution. Buckley Conservative.,AnnMarie American,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@MissNusschen,@MissNusschen,"Krone auf, Mittelfinger hoch! #nazisraus",Magically✨(🏡),,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@cishco126,@cishco126,‏‏שמע ישראל.,David's - Matricule 2583,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@DanSaintLaurent,@DanSaintLaurent,Social Studies teacher with international experience. @TOPTeachGermany Fellow (2016).  @HolocaustMI education advisor. @MCSSinfo presenter (2020).,Dan St.Laurent,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@yoghourtjian,@yoghourtjian,,Kimberly Yoghourtjian,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@JoanaNeiva5,@JoanaNeiva5,,Joana Neiva,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@BuzganEsty,@BuzganEsty,#Diplomatic Cadet at @IsraelMFA. Here to make a difference #MFAcadets36,Ester E. Buzgan,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@TelAvivUni,@TelAvivUni,"Leading research university in #Israel and the world. World's 8ᵗʰ in graduate #Startups, top 100 #Innovation. Be Part of the Next Big Idea.",Tel Aviv University,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@StelioCandido,@StelioCandido,"Podem prender o teu Corpo mas nunca a tua Mente!
Jesus is Friend!",Stélio Do Rosário Cândido,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@harshvardhan_si,@harshvardhan_si,,Harsh Vardhan Singh,,,,,,,,
160,https://twitter.com/TelAviv/status/1245048160730447873,liked,https://www.twitter.com/@dspurrier33,@dspurrier33,,Dale Spurrier,,,,,,,,
